endstationlatitude,endstationlongitude,endstationid,endstationname,startstationid
40.71534825,-73.96024116,539.0,Metropolitan Ave & Bedford Ave,107714
40.71542197,-74.01121978,147.0,Greenwich St & Warren St,53929
40.71559509,-73.9870295,350.0,Clinton St & Grand St,88225
40.715815500000005,-73.99422366,412.0,Forsyth St & Canal St,112715
40.71602118,-73.99974372,355.0,Bayard St & Baxter St,105505
40.71605866,-73.99190759,361.0,Allen St & Hester St,123789
40.7160751,-73.95202900000001,3088.0,Union Ave & Jackson St,20396
40.71622644,-73.98261206,356.0,Bialystoker Pl & Delancey St,50858
40.7162469,-74.0334588,3183.0,Exchange Place,37
40.71625008,-74.0091059,146.0,Hudson St & Reade St,82008
40.716380319735606,-73.94821286201476,3456.0,Jackson St & Leonard St,5825
40.71644423134479,-73.9823305606842,3245.0,NYCBS DEPOT - DELANCEY,1041
40.71649,-74.04105,3481.0,York St,7
40.71653978099194,-74.0496379137039,3205.0,JC Medical Center,8
40.716633,-73.981933,3019.0,NYCBS Depot - DEL,120
40.716887,-73.96319799999999,2002.0,Wythe Ave & Metropolitan Ave,97233
40.716909780459645,-73.98383796215056,3250.0,NYCBS Depot - PIT,491
40.7169811,-73.94485918,3094.0,Graham Ave & Withers St,22281
40.7172274,-73.98802084,311.0,Norfolk St & Broome St,87312
40.717290000000006,-73.996375,263.0,Elizabeth St & Hester St,17156
40.717318403855785,-73.9482021331787,3089.0,Leonard St & Meeker Ave,2323
40.71739973,-73.98016555,342.0,Columbia St & Rivington St,56498
40.71745169,-73.95850939,3093.0,N 6 St & Bedford Ave,110876
40.71748752,-74.0104554,276.0,Duane St & Greenwich St,67403
40.71754834,-74.01322069,426.0,West St & Chambers St,316999
40.717571,-74.005549,320.0,Leonard St & Church St,78401
40.71759081805981,-73.99622440338135,263.0,Elizabeth St & Hester St,14137
40.71764,-73.94882,3091.0,Frost St & Meeker St,15580
40.717732500000004,-74.04384499999999,3185.0,City Hall,13
40.71774592,-73.95600096,3090.0,N 8 St & Driggs Ave,88736
40.71782143,-73.97628939,341.0,Stanton St & Mangin St,47817
40.71816969454208,-73.95520135760306,3715.0,Driggs Ave & N 9 St,2795
40.71821129999999,-74.08363940000001,3191.0,Union St,4
40.71835519823214,-74.03891444206238,3275.0,Columbus Drive,7
40.71848892,-74.047726625,3213.0,Van Vorst Park,15
40.71850211,-73.98329859,349.0,Rivington St & Ridge St,57527
40.71870987,-74.0090009,249.0,Harrison St & Hudson St,57447
40.718821999999996,-73.99596,3435.0,Grand St & Elizabeth St,142475
40.71893904,-73.99266288,531.0,Forsyth St & Broome St,141751
40.7190095,-73.95852515,3092.0,Berry St & N 8 St,69042
40.71907891179564,-73.94223690032959,3430.0,Richardson St & N Henry St,24528
40.71910537,-73.99973337,268.0,Howard St & Centre St,118288
40.71911552,-74.00666661,79.0,Franklin St & W Broadway,81659
40.71915571696044,-73.94885390996933,3452.0,Bayard St & Leonard St,14641
40.71921585,-73.94244690000001,3097.0,N Henry St & Richardson St,1973
40.71924,-73.95241999999999,3096.0,Union Ave & N 12 St,46456
40.71925170000001,-74.034234,3639.0,Harborside,12
40.71925170740989,-74.03423398733139,3197.0,Harborsid,5
40.71925170740989,-74.03423398733139,3197.0,Hs Don't Use,6
40.71926081,-73.98178024,400.0,Pitt St & Stanton St,26195
40.7192789,-74.0424515,3186.0,Grove St PATH,5
40.71928,-73.94861,3098.0,Leonard St & Bayard St,5380
